(61.18330841658133, 60.0)
(76.3881746026314, 56.0)
(64.37405491895589, 54.0)
(78.15046551644471, 59.0)
(66.20044689588372, 15.0)
(62.86777306933418, 55.0)
(72.8578328266057, 63.0)
(70.69607675080383, 73.0)
(69.35274676410515, 80.0)
(62.138170726438105, 52.0)
(72.76403093020285, 73.0)
(69.27810407172464, 76.0)
(67.86157939796885, 74.0)
(68.2709183667948, 68.0)
(62.776200149543065, 55.0)
(67.91398651111103, 69.0)
(78.37566123937768, 100.0)
(62.456422220491504, 59.0)
(61.35084008151224, 46.0)
(83.88639461261216, 48.0)
(64.82938198836045, 65.0)
(68.4879468171751, 54.0)
(72.64177285628085, 88.0)
(66.1489791267222, 58.0)
(66.13415015101462, 71.0)
(60.39033318182577, 69.0)
(68.62694903027355, 71.0)
(63.667581247408364, 48.0)
(64.29725803847056, 65.0)
(65.12465840068175, 85.0)
(66.88515274407511, 71.0)
(77.41234360277257, 79.0)
(85.50043433670652, 91.0)
(71.11442357982594, 72.0)
(63.76956172484064, 72.0)
(71.79604571461097, 73.0)
(58.52591138409894, 84.0)
(68.78438016250742, 52.0)
(62.56197959664942, 49.0)
(66.5494417004841, 69.0)
(63.20639347893464, 58.0)
(70.09490877312642, 55.0)
(72.84784677049153, 82.0)
(66.4679946648319, 63.0)
(61.59094948433501, 48.0)
(63.07384860055502, 56.0)
(59.34081833960599, 35.0)
(60.88122294132296, 58.0)
(66.85919547962752, 72.0)
(59.2214340582197, 51.0)
(65.33132501302447, 53.0)
(65.64469768322442, 58.0)
(82.72140662031296, 72.0)
(77.90166957471322, 96.0)
(79.35946509792953, 46.0)
(62.0673556973718, 85.0)
(82.84296757074688, 84.0)
(71.73361021975265, 49.0)
(55.594206572053, 18.0)
(62.87518383792687, 58.0)
(68.16015569219391, 82.0)
(61.76412900836946, 33.0)
(80.34965335934774, 97.0)
(82.76582153619265, 89.0)
(70.70039068154128, 93.0)
(62.93583202228834, 78.0)
(68.53912183232738, 83.0)
(74.69559197216824, 71.0)
(67.54638744637705, 55.0)
(70.75254383466232, 60.0)
(63.605123862706634, 81.0)
(56.43093570785095, 63.0)
(58.69832401758232, 49.0)
(70.91821103979265, 64.0)
(65.69786520468386, 83.0)
(60.051815828358905, 52.0)
(70.60619522336202, 91.0)
(82.56182748543291, 74.0)
(64.0463735686508, 79.0)
(60.464696747088034, 67.0)
(63.33565553489224, 62.0)
(75.19913407776531, 67.0)
(65.13978759540991, 55.0)
(78.24732449663288, 75.0)
(67.95275452499254, 118.0)
(72.24787577199353, 74.0)
(65.64276343906013, 64.0)
(71.89556153639683, 24.0)
(63.23286158467758, 66.0)
(74.13958124408516, 47.0)
(63.06236216519883, 67.0)
(57.47795091119913, 58.0)
(68.8195270755889, 74.0)
(75.728558216902, 47.0)
(75.50248887923577, 52.0)
(68.45233677961117, 73.0)
(65.07676921527832, 58.0)
